seq_num,board_time_us,event_type,sensor_id,delta_us,flags,sync_state,confidence,tier,loss_detected,seq_gap
9,1000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
21,2000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
33,3000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
45,4000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
57,5000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
69,6000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
81,7000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
93,8000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
105,9000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
117,10000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
129,11000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
141,12000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
153,13000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
165,14000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
177,15000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
189,16000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
201,17000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
213,18000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
225,19000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
251,21104207,PPS_LOST,ZED-F9P,0,0x00000004,,101,2,true,false
278,23584998,PPS_RECOVERY,ZED-F9P,0,0x00000009,,200,2,false,false
279,23584998,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
295,25000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
307,26000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
319,27000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
331,28000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
343,29000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
355,30000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
367,31000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
379,32000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
391,33000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
403,34000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
415,35000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
427,36000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
439,37000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
451,38000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
463,39000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
475,40000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
487,41000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
499,42000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
511,43000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
523,44000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
535,45000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
547,46000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
559,47000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
571,48000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
583,49000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
595,50000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
607,51000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
619,52000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
631,53000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
643,54000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
655,55000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
667,56000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
679,57000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
691,58000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
703,59000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
715,60000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
727,61000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
739,62000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
751,63000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
763,64000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
775,65000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
787,66000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
799,67000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
811,68000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
823,69000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
835,70000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
847,71000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
859,72000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
871,73000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
883,74000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
895,75000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
907,76000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
919,77000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
931,78000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
