time_us, raw_offset, corrected_time, state, confidence, result
0, offset=224.0, corrected=22, state=NORMAL, confidence=0.910, result=PASS
100000, offset=193.0, corrected=100042, state=NORMAL, confidence=0.920, result=PASS
200000, offset=232.0, corrected=200057, state=NORMAL, confidence=0.930, result=PASS
300000, offset=276.0, corrected=300073, state=NORMAL, confidence=0.940, result=PASS
400000, offset=188.0, corrected=400085, state=NORMAL, confidence=0.950, result=PASS
500000, offset=188.0, corrected=500093, state=NORMAL, confidence=0.960, result=PASS
600000, offset=278.0, corrected=600102, state=NORMAL, confidence=0.970, result=PASS
700000, offset=238.0, corrected=700105, state=NORMAL, confidence=0.980, result=PASS
800000, offset=176.0, corrected=800106, state=NORMAL, confidence=0.990, result=PASS
900000, offset=227.0, corrected=900108, state=NORMAL, confidence=0.990, result=PASS
1000000, offset=176.0, corrected=1000109, state=NORMAL, confidence=0.990, result=PASS
1100000, offset=176.0, corrected=1100105, state=NORMAL, confidence=0.990, result=PASS
1200000, offset=212.0, corrected=1200101, state=NORMAL, confidence=0.990, result=PASS
1300000, offset=104.0, corrected=1300098, state=NORMAL, confidence=0.990, result=PASS
1400000, offset=113.0, corrected=1400095, state=NORMAL, confidence=0.990, result=PASS
1500000, offset=171.0, corrected=1500092, state=NORMAL, confidence=0.990, result=PASS
1600000, offset=149.0, corrected=1600088, state=NORMAL, confidence=0.990, result=PASS
1700000, offset=215.0, corrected=1700085, state=NORMAL, confidence=0.990, result=PASS
1800000, offset=154.0, corrected=1800083, state=NORMAL, confidence=0.990, result=PASS
1900000, offset=129.0, corrected=1900082, state=NORMAL, confidence=0.990, result=PASS
2000000, offset=273.0, corrected=2000080, state=NORMAL, confidence=0.990, result=PASS
2100000, offset=188.0, corrected=2100083, state=NORMAL, confidence=0.990, result=PASS
2200000, offset=203.0, corrected=2200085, state=NORMAL, confidence=0.990, result=PASS
2300000, offset=128.0, corrected=2300088, state=NORMAL, confidence=0.990, result=PASS
2400000, offset=172.0, corrected=2400089, state=NORMAL, confidence=0.990, result=PASS
2500000, offset=205.0, corrected=2500091, state=NORMAL, confidence=0.990, result=PASS
2600000, offset=142.0, corrected=2600090, state=NORMAL, confidence=0.990, result=PASS
