time_us,event_type,seq,board_time_us,reference_time_us,pps_status,note
0,PPS_EDGE,0,0,221,1,
10000,IMU_SAMPLE,1,10000,,0,
20000,IMU_SAMPLE,2,20000,,0,
30000,IMU_SAMPLE,3,30000,,0,
40000,IMU_SAMPLE,4,40000,,0,
50000,IMU_SAMPLE,5,50000,,0,
60000,IMU_SAMPLE,6,60000,,0,
70000,IMU_SAMPLE,7,70000,,0,
80000,IMU_SAMPLE,8,80000,,0,
90000,IMU_SAMPLE,9,90000,,0,
100000,IMU_SAMPLE,10,100000,,0,
110000,IMU_SAMPLE,11,110000,,0,
120000,IMU_SAMPLE,12,120000,,0,
130000,IMU_SAMPLE,13,130000,,0,
140000,IMU_SAMPLE,14,140000,,0,
150000,IMU_SAMPLE,15,150000,,0,
160000,IMU_SAMPLE,16,160000,,0,
170000,IMU_SAMPLE,17,170000,,0,
180000,IMU_SAMPLE,18,180000,,0,
190000,IMU_SAMPLE,19,190000,,0,
200000,IMU_SAMPLE,20,200000,,0,
210000,IMU_SAMPLE,21,210000,,0,
220000,IMU_SAMPLE,22,220000,,0,
230000,IMU_SAMPLE,23,230000,,0,
240000,IMU_SAMPLE,24,240000,,0,
250000,IMU_SAMPLE,25,250000,,0,
260000,IMU_SAMPLE,26,260000,,0,
270000,IMU_SAMPLE,27,270000,,0,
280000,IMU_SAMPLE,28,280000,,0,
290000,IMU_SAMPLE,29,290000,,0,
300000,IMU_SAMPLE,30,300000,,0,
310000,IMU_SAMPLE,31,310000,,0,
320000,IMU_SAMPLE,32,320000,,0,
330000,IMU_SAMPLE,33,330000,,0,
340000,IMU_SAMPLE,34,340000,,0,
350000,IMU_SAMPLE,35,350000,,0,
360000,IMU_SAMPLE,36,360000,,0,
370000,IMU_SAMPLE,37,370000,,0,
380000,IMU_SAMPLE,38,380000,,0,
390000,IMU_SAMPLE,39,390000,,0,
400000,IMU_SAMPLE,40,400000,,0,
410000,IMU_SAMPLE,41,410000,,0,
420000,IMU_SAMPLE,42,420000,,0,
430000,IMU_SAMPLE,43,430000,,0,
440000,IMU_SAMPLE,44,440000,,0,
450000,IMU_SAMPLE,45,450000,,0,
460000,IMU_SAMPLE,46,460000,,0,
470000,IMU_SAMPLE,47,470000,,0,
480000,IMU_SAMPLE,48,480000,,0,
490000,IMU_SAMPLE,49,490000,,0,
500000,IMU_SAMPLE,50,500000,,0,
510000,IMU_SAMPLE,51,510000,,0,
520000,IMU_SAMPLE,52,520000,,0,
530000,IMU_SAMPLE,53,530000,,0,
540000,IMU_SAMPLE,54,540000,,0,
550000,IMU_SAMPLE,55,550000,,0,
560000,IMU_SAMPLE,56,560000,,0,
570000,IMU_SAMPLE,57,570000,,0,
580000,IMU_SAMPLE,58,580000,,0,
590000,IMU_SAMPLE,59,590000,,0,
600000,IMU_SAMPLE,60,600000,,0,
