time_us,event_type,seq,board_time_us,reference_time_us,pps_status,note,corrected_time_us,state,offset_us,drift_ppm,confidence,residual
0,PPS_EDGE,0,0,208,1,,20,NORMAL,20.8,0.0,0.91,208.0
1000000,PPS_EDGE,100,1000000,1000223,1,,1000039,NORMAL,39.519999999999996,-0.4640000000037253,0.92,202.19999999995343
2000000,PPS_EDGE,200,2000000,2000199,1,,2000055,NORMAL,55.78799999999534,-3.8444800000011927,0.93,159.47999999998137
3000000,PPS_EDGE,300,3000000,3000205,1,,3000070,NORMAL,70.42919999999116,-4.358361600013614,0.9400000000000001,149.2119999998249
4000000,PPS_EDGE,400,4000000,4000203,1,,4000079,NORMAL,79.33427999999017,-5.340988672008889,0.9500000000000001,132.57079999987036
5000000,PPS_EDGE,500,5000000,5000221,1,,5000086,NORMAL,86.32205199997365,-4.186115978243266,0.96,141.66571999993175
6000000,PPS_EDGE,600,6000000,6000217,1,,6000091,NORMAL,91.85641879996946,-4.730248459985583,0.97,130.67794799990952
7000000,JITTER_SPIKE,700,7000000,7001005,1,injected +800us spike,7000091,NORMAL,91.85641879996946,-4.730248459985583,0.9,913.143581200391
8000000,PPS_EDGE,800,8000000,8000179,1,,8000095,NORMAL,95.92785691995955,-6.0932032551674755,0.91,87.14358120039105
9000000,PPS_EDGE,900,9000000,9000218,1,,9000099,NORMAL,99.40286602795454,-2.811462044408323,0.92,122.07214307971299
10000000,PPS_EDGE,1000,10000000,10000207,1,,10000101,NORMAL,101.66979373313039,-3.744545809492637,0.93,107.59713397175074
11000000,PPS_EDGE,1100,11000000,11000224,1,,11000103,NORMAL,103.71002866778865,-2.2663363610704303,0.9400000000000001,122.33020626753569
12000000,JITTER_SPIKE,1200,12000000,12000999,1,injected +800us spike,12000103,NORMAL,103.71002866778865,-2.2663363610704303,0.9,895.2899713329971
13000000,PPS_EDGE,1300,13000000,13000239,1,,13000105,NORMAL,105.54624010898108,-1.5666388495663401,0.91,135.28997133299708
14000000,PPS_EDGE,1400,14000000,14000192,1,,14000107,NORMAL,107.19883040605427,-5.3482046568878125,0.92,86.45375989191234
15000000,PPS_EDGE,1500,15000000,15000231,1,,15000108,NORMAL,108.71196799220242,-1.9325555081097896,0.93,123.80116959474981
16000000,PPS_EDGE,1600,16000000,16000202,1,,16000110,NORMAL,110.07379181973575,-4.219002074374192,0.9400000000000001,93.288032008335
17000000,JITTER_SPIKE,1700,17000000,17000989,1,injected +800us spike,17000110,NORMAL,110.07379181973575,-4.219002074374192,0.9,878.9262081794441
18000000,PPS_EDGE,1800,18000000,18000177,1,,18000108,NORMAL,108.39521583859567,-4.935954861579893,0.91,66.92620817944407
19000000,PPS_EDGE,1900,19000000,19000196,1,,19000106,NORMAL,106.31617267082135,-2.886792394140833,0.92,87.60478416085243
