time_us,event_type,seq,board_time_us,reference_time_us,pps_status,note,corrected_time_us,state,offset_us,drift_ppm,confidence,residual,outlier,valid_pps,stable_pps,injected_outlier,detected_outlier,outlier_rejected
0,PPS_EDGE,0,0,197,1,,19,NORMAL,19.700000000000003,0.0,0.91,197.0,False,True,False,False,False,False
1000000,PPS_EDGE,100,1000000,1000196,1,,1000037,NORMAL,37.43000000000001,-1.6559999999962747,0.92,176.30000000004657,False,True,False,False,False,False
2000000,PPS_EDGE,200,2000000,2000197,1,,2000051,NORMAL,51.31700000000466,-2.8619199999950826,0.93,159.5700000000652,False,True,False,False,False,False
3000000,PPS_EDGE,300,3000000,3000214,1,,3000063,NORMAL,63.815300000008854,-2.383926399985194,0.9400000000000001,162.68300000019372,False,True,False,False,False,False
4000000,PPS_EDGE,400,4000000,4000197,1,,4000073,NORMAL,73.70207000002733,-4.553076287993889,0.9500000000000001,133.18470000009984,False,True,False,False,False,False
5000000,PPS_EDGE,500,5000000,5000170,1,,5000082,NORMAL,82.28886300003111,-7.139771784934375,0.96,96.29793000034988,False,True,True,False,False,False
6000000,PPS_EDGE,600,6000000,6000206,1,,6000087,NORMAL,87.37844670003798,-4.375533482204412,0.97,123.71113699954003,False,True,False,False,False,False
7000000,PPS_EDGE,700,7000000,7000194,1,,7000091,NORMAL,91.01171572998818,-5.392657499595376,0.98,106.62155329994857,False,True,False,False,False,False
8000000,PPS_EDGE,800,8000000,8000195,1,,8000092,NORMAL,92.57269948698422,-5.171906422001303,0.99,103.98828427027911,False,True,False,False,False,False
9000000,PPS_EDGE,900,9000000,9000202,1,,9000093,NORMAL,93.97758486828066,-4.323032608840273,0.99,109.42730051279068,False,True,False,False,False,False
10000000,PPS_EDGE,1000,10000000,10000204,1,,10000095,NORMAL,95.52255643273166,-3.9295808306498663,0.99,110.02241513133049,False,True,False,False,False,False
11000000,PPS_EDGE,1100,11000000,11000223,1,,11000096,NORMAL,96.91303084073756,-2.2188120893806484,0.99,127.47744356654584,False,True,False,False,False,False
12000000,PPS_EDGE,1200,12000000,12000213,1,,12000098,NORMAL,98.22396926979685,-2.952545074790383,0.99,116.08696915954351,False,True,False,False,False,False
13000000,PPS_EDGE,1300,13000000,13000202,1,,13000099,NORMAL,99.40381385595022,-3.7012165431341444,0.99,103.77603073045611,False,True,False,False,False,False
14000000,PPS_EDGE,1400,14000000,14000185,1,,14000100,NORMAL,100.46567398348824,-4.859506786577706,0.99,85.59618614427745,False,True,True,False,False,False
15000000,PPS_EDGE,1500,15000000,15000179,1,,15000100,NORMAL,100.79670965818504,-5.035695053841452,0.99,78.53432601690292,False,True,True,False,False,False
16000000,PPS_EDGE,1600,16000000,16000204,1,,16000101,NORMAL,101.03736772650873,-2.659322303572613,0.99,103.20329034142196,False,True,False,False,False,False
17000000,PPS_EDGE,1700,17000000,17000226,1,,17000101,NORMAL,101.25395998800006,-0.7058291648091599,0.99,124.96263227239251,False,True,False,False,False,False
18000000,PPS_EDGE,1800,18000000,18000200,1,,18000101,NORMAL,101.0031679904688,-2.746690212400832,0.99,98.74604001268744,False,True,True,False,False,False
19000000,PPS_EDGE,1900,19000000,19000197,1,,19000100,NORMAL,100.77745519269067,-2.7468916356713695,0.99,95.9968320094049,False,True,True,False,False,False
