time_us,event_type,seq,board_time_us,reference_time_us,pps_status,note,corrected_time_us,state,offset_us,drift_ppm,confidence,residual,outlier,valid_pps,stable_pps,injected_outlier,detected_outlier,outlier_rejected
0,PPS_EDGE,0,0,210,1,,21,NORMAL,21.0,0.0,0.91,210.0,False,True,False,False,False,False
1000000,PPS_EDGE,100,1000000,1000170,1,,1000039,NORMAL,39.900000000000006,-4.88,0.92,149.0,False,True,False,False,False,False
2000000,PPS_EDGE,200,2000000,2000193,1,,2000051,NORMAL,51.22000000000932,-4.161599999992549,0.93,153.10000000009313,False,True,False,False,False,False
3000000,PPS_EDGE,300,3000000,3000209,1,,3000061,NORMAL,61.8759999999879,-3.454272000016987,0.9400000000000001,157.7799999997951,False,True,False,False,False,False
4000000,PPS_EDGE,400,4000000,4000217,1,,4000071,NORMAL,71.20079999997272,-3.3904102400123497,0.9500000000000001,155.1239999998361,False,True,False,False,False,False
5000000,PPS_EDGE,500,5000000,5000195,1,,5000079,NORMAL,79.39071999998475,-5.625161420778936,0.96,123.7992000002414,False,True,False,False,False,False
6000000,PPS_EDGE,600,6000000,6000207,1,,6000086,NORMAL,86.76164799999559,-4.870342107100671,0.97,127.60928000044078,False,True,False,False,False,False
7000000,PPS_EDGE,700,7000000,7000204,1,,7000090,NORMAL,90.84641120004011,-5.310388978585317,0.98,117.23835199978203,False,True,False,False,False,False
8000000,PPS_LOST,800,8000000,,0,pps lost,8000090,NORMAL,90.84641120004011,-5.310388978585317,0.9,0,False,False,False,False,False,False
9000000,PPS_LOST,900,9000000,,0,pps lost,9000090,HOLDOVER,90.84641120004011,-5.310388978585317,0.855,0,False,False,False,False,False,False
10000000,PPS_LOST,1000,10000000,,0,pps lost,10000085,HOLDOVER,90.84641120004011,-5.310388978585317,0.8122499999999999,0,False,False,False,False,False,False
11000000,PPS_LOST,1100,11000000,,0,pps lost,11000080,HOLDOVER,90.84641120004011,-5.310388978585317,0.7716374999999999,0,False,False,False,False,False,False
12000000,PPS_LOST,1200,12000000,,0,pps lost,12000074,HOLDOVER,90.84641120004011,-5.310388978585317,0.7330556249999999,0,False,False,False,False,False,False
13000000,PPS_LOST,1300,13000000,,0,pps lost,13000069,HOLDOVER,90.84641120004011,-5.310388978585317,0.6964028437499998,0,False,False,False,False,False,False
14000000,PPS_EDGE,1400,14000000,14000181,1,,14000064,HOLDOVER,91.17593908804213,-5.30894784149245,0.6615827015624998,90.15358879975975,False,True,True,False,False,False
15000000,PPS_EDGE,1500,15000000,15000217,1,,15000059,HOLDOVER,91.50217169716412,-5.267968421539404,0.6285035664843748,125.8240609113127,False,True,False,False,False,False
16000000,PPS_EDGE,1600,16000000,16000213,1,,16000106,RECOVERY,106.50000000003453,-5.173794840226237,0.7,121.49782830290496,False,True,False,False,False,False
17000000,PPS_EDGE,1700,17000000,17000175,1,,17000111,RECOVERY,111.86917599990828,-9.95619818649411,0.75,68.5,False,True,True,False,False,False
18000000,PPS_EDGE,1800,18000000,18000216,1,,18000108,RECOVERY,107.99999999977581,-5.397495967880366,0.7,104.13082399964333,False,True,False,False,False,False
19000000,PPS_EDGE,1900,19000000,19000179,1,,19000106,RECOVERY,106.06541199970957,-8.170828771056662,0.75,71.0,False,True,True,False,False,False
