time_us,event_type,seq,board_time_us,reference_time_us,pps_status,note,corrected_time_us,state,offset_us,drift_ppm,confidence,residual
0,PPS_EDGE,0,0,171,1,,17,NORMAL,17.1,0.0,0.91,171.0
1000000,PPS_EDGE,100,1000000,1000200,1,,1000033,NORMAL,33.68000000000233,0.9520000000018627,0.92,182.90000000002328
2000000,PPS_EDGE,200,2000000,2000205,1,,2000047,NORMAL,47.444000000008614,-0.05055999999493355,0.93,171.3200000000652
3000000,PPS_EDGE,300,3000000,3000193,1,,3000059,NORMAL,59.83160000001428,-2.1076352000112832,0.9400000000000001,145.5559999998659
4000000,PPS_EDGE,400,4000000,4000214,1,,4000070,NORMAL,70.94844000001285,-1.2500323840116918,0.9500000000000001,154.1683999998495
5000000,PPS_EDGE,500,5000000,5000211,1,,5000079,NORMAL,79.27043599999652,-2.279376993311904,0.96,140.05155999958515
6000000,PPS_EDGE,600,6000000,6000246,1,,6000086,NORMAL,86.76023239998182,0.03721348617992293,0.97,166.72956399992108
7000000,PPS_EDGE,700,7000000,7000212,1,,7000092,NORMAL,92.63980915997023,-3.2849473047200863,0.98,125.2397675998509
8000000,PPS_EDGE,800,8000000,8000187,1,,8000097,NORMAL,97.38098424393172,-5.49251766109551,0.99,94.36019084043801
10000000,PPS_EDGE,1000,10000000,10000183,1,,10000100,NORMAL,100.16686257952364,-5.40276325154561,0.99,85.61901575699449
11000000,PPS_EDGE,1100,11000000,11000219,1,,11000102,NORMAL,102.03349006366501,-2.313412458306527,0.99,118.83313742093742
12000000,PPS_EDGE,1200,12000000,12000188,1,,12000101,NORMAL,101.26616014134231,-4.7576696604068065,0.99,85.9665099363774
13000000,PPS_EDGE,1300,13000000,13000198,1,,13000100,NORMAL,100.57556321125188,-3.5156696938185874,0.99,96.73383985832334
14000000,PPS_EDGE,1400,14000000,14000214,1,,14000100,NORMAL,100.19139087595902,-1.8991683638584878,0.99,113.424436789006
15000000,PPS_EDGE,1500,15000000,15000185,1,,15000099,NORMAL,99.84563577419544,-4.036501107928443,0.99,84.80860912427306
16000000,PPS_EDGE,1600,16000000,16000194,1,,16000099,NORMAL,99.2765086194145,-2.965920611125137,0.99,94.15436422638595
17000000,PPS_EDGE,1700,17000000,17000163,1,,17000098,NORMAL,98.76429418011165,-5.163116789797696,0.99,63.72349138185382
18000000,PPS_EDGE,1800,18000000,18000178,1,,18000097,NORMAL,97.3687256745278,-3.5090902916437114,0.99,79.23570581898093
19000000,PPS_EDGE,1900,19000000,19000188,1,,19000096,NORMAL,96.11271401950232,-2.316717587917851,0.99,90.63127432391047
